longitude,latitude,Years,month,day,magnitude,depth
-70.26,-37.72,1920,12,10,7.3,15
-72,-35,1928,12,1,8,25
-68,-35,1929,5,30,6.8,40
-70,-36.5,1932,3,1,5.8,290
-71,-35,1932,6,11,6,80
-71.88,-35.25,1935,8,5,6.1,35
-71.65,-36.53,1936,11,1,6.3,15
-72,-36,1937,1,30,5.8,100
-72,-37,1937,12,24,5.8,70
-70,-35,1940,9,29,6.3,110
-71.5,-36,1950,1,21,6.2,64
-70.34,-37.61,1955,10,6,6.5,167.3
-71.94,-38.03,1960,5,22,6.9,30
-70.53,-37.07,1961,10,19,6.3,149
-71.1,-37.7,1962,1,7,5.1,129
-70.4,-38.5,1963,2,26,5.1,61
-71.5,-36.9,1963,8,9,4.2,186
-71.8,-40.2,1963,8,15,4,58
-69,-38.2,1963,12,3,4,65
-68.4,-35.1,1964,2,23,4.6,135
-70.6,-35.38,1964,4,23,4.4,35
-70.65,-35.47,1964,11,24,4.1,130
-71.23,-35.56,1965,2,28,4.4,105
-68.91,-35.45,1965,3,11,4.1,35
-70.88,-35.19,1965,7,23,4.5,99
-72,-35.9,1965,10,5,4.9,24
-68.25,-35.42,1965,12,10,4.4,10
-72,-38.1,1966,3,23,4,78
-70.45,-36.78,1966,3,27,3.7,154
-71.27,-35.1,1966,4,29,4.6,100
-71.09,-35.2,1966,8,17,4.4,105
-69.92,-35.43,1967,2,21,4.1,150
-71.89,-39.25,1967,5,7,4.1,120
-70.28,-37.16,1967,5,15,4.4,33
-71,-35.05,1967,8,18,4.6,20
-71.91,-39.5,1967,11,26,4.7,35
-71.24,-38.33,1968,4,30,5.4,10
-70.67,-35.1,1968,7,26,4.6,70
-71.24,-35.31,1968,10,18,4.9,90.2
-71.87,-35.66,1969,1,19,4.8,60.8
-71.01,-35.15,1969,4,23,4.6,78.5
-72,-39.22,1969,8,25,5.1,15
-71.25,-38.68,1969,12,2,4.5,120
-70.9,-36.42,1970,5,18,4.5,90
-67.4,-36.2,1970,6,30,4.1,33
-70.37,-36.77,1970,7,31,4.6,160
-70.5,-39.53,1970,11,30,4.7,160
-71.93,-37.28,1971,3,6,4.8,79.2
-70.23,-35.6,1971,7,3,4.2,48.4
-71.07,-35.41,1971,12,4,4.8,93.6
-70.25,-35.04,1972,1,21,5.1,11.1
-71.26,-35.08,1972,5,30,4.4,97.5
-70.77,-36.54,1972,6,17,3.9,0.1
-71.57,-40.35,1972,8,1,4.4,118.6
-69.4,-36.89,1972,8,12,3.6,0.1
-70.98,-35.29,1972,9,4,4.7,105.1
-68.68,-36.35,1972,10,29,4,0.1
-71.97,-35.77,1973,4,29,4,0.1
-72.01,-38.35,1973,8,5,4.8,74.2
-70.88,-35.82,1973,10,24,4.6,98.8
-70.87,-35.14,1974,2,9,4.5,107.7
-70.73,-36.08,1974,6,1,3.7,0.1
-70.33,-38.12,1974,6,30,4.7,174.9
-71.22,-39.63,1974,7,15,4.2,55
-70.59,-35.18,1974,8,24,4.2,0.1
-71.06,-35.33,1974,9,7,4.8,90.1
-71.95,-38.01,1975,5,12,4.1,41.2
-70.96,-36.02,1975,5,20,4.9,107.9
-70.34,-38.38,1976,1,7,4.7,154.3
-70.66,-35.11,1976,2,15,4.8,101.4
-71.49,-36.12,1976,5,22,5,75.9
-71.54,-38,1976,8,28,4.5,37
-71.1,-38.16,1978,1,2,5.5,126.8
-70.1,-36.26,1978,5,17,4.5,185.4
-71.19,-36.04,1978,7,19,4.6,104
-70.79,-38.86,1979,2,21,4.7,155
-71.19,-35.71,1979,3,20,5.4,88.8
-71.91,-40.28,1979,4,19,4.5,33
-71.39,-36.13,1979,10,8,4.8,81.6
-71.34,-35.99,1979,12,26,5.6,86.8
-70.56,-39.5,1980,1,30,4.8,33
-70.69,-35.02,1980,6,29,4.2,33.3
-71.09,-37.23,1980,7,5,4.4,136.3
-70.94,-35.06,1980,10,25,4.2,92.6
-71.69,-35.51,1981,3,16,5.4,71.9
-70.71,-37.23,1981,7,31,4.6,122.3
-70.58,-36.78,1981,11,28,4.5,134.3
-71.7,-36.5,1982,4,8,4.8,92.9
-70.87,-36.5,1982,11,26,4.8,150.3
-71.54,-36.13,1983,7,31,4.6,89.5
-71.27,-35.98,1983,11,15,4.9,103.3
-70.42,-37.25,1984,4,29,3,33
-70.82,-35.57,1984,6,6,5,125.9
-69.97,-35.82,1984,9,12,4.2,169.1
-71.65,-35.55,1984,9,19,4.9,75
-70.67,-35.17,1985,2,8,3.9,0.7
-71.2,-35.59,1985,9,10,4.5,117.3
-71.42,-39.34,1985,9,18,4.9,33
-70.25,-38.53,1985,10,2,4.6,112.5
-70.6,-35.21,1985,11,4,5.3,28.9
-71.12,-35.31,1985,12,18,4.6,94
-70.19,-35.07,1986,4,23,3.7,169
-70.6,-35.2,1986,4,24,4.1,33
-70.85,-35.26,1986,5,13,4.1,5
-70.41,-37.25,1986,7,21,4,109.7
-71.85,-35.84,1986,8,3,3.8,5.3
-71.83,-37.1,1986,9,5,5.4,85
-70.47,-35.89,1986,9,30,3.7,20
-70.81,-35.9,1986,11,13,3.7,170.7
-71.02,-35.06,1986,11,22,3.6,104.8
-69.34,-36.42,1986,12,4,4.1,33
-71.04,-35.19,1986,12,6,3.7,99.3
-70.63,-36.65,1987,4,12,4.2,169.5
-70.86,-35.16,1987,6,29,3.9,88.7
-69.66,-35.17,1987,7,7,3.8,165
-71.99,-36.95,1987,7,8,4.1,30
-71.57,-36.14,1987,7,9,4.2,134
-71.96,-35.31,1987,7,23,3.9,30
-70.51,-37,1987,8,19,4.1,134.9
-69.95,-35.04,1987,10,13,3.7,147
-69.8,-37.06,1987,11,18,3.7,212
-70.33,-35.01,1987,11,22,3.9,10
-70.93,-35.35,1987,11,30,4.2,123.4
-71.15,-39.95,1988,2,11,4.8,152.2
-71.48,-35.05,1988,2,17,4,62
-71.65,-36.8,1988,2,28,4,151
-70.74,-35.58,1988,3,1,3.8,10
-71.1,-35.01,1988,3,26,4.1,75
-70.71,-36.38,1988,8,28,4.4,49.9
-70.63,-36.73,1988,9,3,4.1,171
-71.25,-35.97,1988,9,4,4.5,86.6
-71.24,-35.72,1988,11,6,3.8,117
-71.76,-38.1,1988,12,22,4.7,33
-69.99,-35.12,1988,12,30,4.6,140.4
-71.53,-38.5,1989,1,13,5,33
-71.06,-35.52,1989,2,26,4.4,84
-71.85,-35.03,1989,3,12,4.7,49.7
-70.01,-35.82,1989,4,15,4,184
-71.56,-36.44,1989,5,20,3.7,60
-71.39,-35.62,1989,6,13,3.6,127
-70.86,-36.63,1989,8,22,4,230
-71.56,-35.15,1989,8,23,3.7,71
-70.82,-35.11,1989,9,5,4,97
-70.98,-35.14,1989,12,18,3.9,127
-70.47,-36.58,1989,12,26,3.8,33
-70.95,-35.03,1990,1,15,3.9,101.8
-67.33,-35.03,1990,4,1,4.5,31.5
-70.85,-36.02,1990,5,5,4,156
-71.4,-35.84,1990,5,14,6.2,87.1
-69.96,-35.4,1990,5,27,4,180
-71.53,-35.07,1990,5,27,4.1,30.9
-71.47,-35.46,1990,5,29,3.9,143
-71.01,-37.88,1990,6,16,3.9,225
-69.94,-36.53,1990,6,17,3.8,140
-71.04,-35.02,1990,7,27,3.4,29
-70.95,-35.36,1990,8,14,4,86.2
-70.3,-35.95,1990,10,4,3.6,210
-70.96,-35.5,1990,10,13,4.1,76.6
-70.93,-36.14,1990,11,16,3.7,221
-71.44,-35.83,1990,11,30,3.9,113
-71.5,-35.45,1990,12,12,3.8,49.7
-70.49,-35.03,1990,12,30,3.8,142
-71.24,-36.13,1991,1,15,3.7,153
-71,-36.21,1991,1,24,3.7,33
-71.47,-36.86,1991,2,3,3.9,196
-70.64,-35.31,1991,2,8,4,12
-70.44,-35.8,1991,2,11,3.8,178
-71.97,-40.36,1991,2,13,4,33
-71.08,-37.87,1991,2,21,4.8,107.5
-70.51,-35.28,1991,3,20,4,10
-70.88,-35.2,1991,4,2,3.8,132
-71.57,-36.18,1991,4,10,3.9,0.1
-71.05,-35.48,1991,5,5,4,116.5
-71.55,-35.65,1991,5,12,3.7,160
-70.19,-35.02,1991,5,28,3.6,15
-71.76,-35.92,1991,5,30,3.7,80
-71.53,-35.45,1991,7,27,3.6,33
-71.07,-35.25,1991,8,14,4.7,107.2
-71.36,-35.19,1991,12,5,3.8,56
-71.97,-36.15,1992,1,29,3.9,140
-70.2,-35.73,1992,2,21,3.8,170
-71.98,-35.67,1992,2,23,3.9,90
-71.48,-35.84,1992,3,29,3.9,125
-71.18,-36.61,1992,4,24,4,180
-70.67,-35.1,1992,4,27,3.7,11
-71.22,-35.17,1992,5,16,3.7,100
-71.59,-36.26,1992,9,6,4,179
-70.69,-35.2,1992,9,11,3.2,110
-71.7,-36.78,1992,9,21,3.9,175.4
-70.68,-35.7,1992,10,14,3.6,33
-71.47,-35.58,1992,10,27,3.8,135
-70.44,-35.47,1992,11,13,3.9,10
-70.99,-35.07,1992,11,21,3.8,100
-69.95,-35,1992,11,25,3.7,140
-71.83,-35.76,1992,11,30,3.9,38
-71.86,-36.18,1992,12,8,4.1,100
-71.46,-36.12,1993,3,7,3.8,167
-71.43,-35.31,1993,3,8,3.8,82
-71.77,-35.67,1993,3,15,3.9,90
-70.13,-35,1993,4,14,4.4,12
-71.81,-37.17,1993,4,22,4.1,169
-70.8,-35.32,1993,4,26,3.4,15
-71.43,-35.49,1993,5,7,3.8,100
-71.01,-35.78,1993,5,22,4.2,13
-71.31,-35.47,1993,5,27,4,100
-70.86,-35.64,1993,5,29,3.7,10
-71.71,-35.64,1993,6,5,3.8,131
-70.64,-35.11,1993,7,8,3.8,3
-71.27,-35,1993,7,10,3.4,76
-70.47,-35.22,1993,11,29,3.8,10
-70.66,-35.82,1993,12,17,3.9,213
-71.16,-35.14,1994,1,8,3.6,101
-70.44,-35.42,1994,1,26,3.7,172
-70.48,-36.36,1994,2,14,4.1,2
-71.28,-35.39,1994,2,20,4.2,110
-70.51,-35.84,1994,3,1,3.9,201
-71.16,-35,1994,3,11,4,90
-71.38,-36.27,1994,4,16,3.9,183
-69.03,-36.13,1994,5,4,3.7,54
-71.34,-35.47,1994,5,7,3.7,120
-71.68,-35.05,1994,7,3,3.7,45
-71.39,-35.25,1994,7,14,3.9,99
-70.24,-35.16,1994,8,1,3.9,158
-70.66,-35.24,1994,8,8,3.7,5
-71.21,-35.12,1994,8,20,4,71
-71.4,-35.95,1994,8,27,4.2,152
-67.36,-35.05,1994,11,13,4.8,26.7
-71.18,-35.56,1994,11,26,3.8,152
-71.43,-36.22,1994,12,8,3.9,0.1
-71.19,-35.72,1994,12,9,4.2,120
-71.17,-36.52,1995,1,4,3.7,202
-71.96,-35.26,1995,1,9,3.9,41
-71.3,-36.05,1995,1,14,3.9,160
-70.55,-35.79,1995,2,5,3.7,186.7
-71.74,-35.37,1995,2,7,3.9,123.6
