longitude,latitude,Years,month,day,magnitude,depth,hour,minute
-70.26,-37.72,1920,12,10,7.3,15,4,26
-72,-35,1928,12,1,8,25,4,6
-71.9,-35.39,1928,12,20,5.7,35,6,34
-68,-35,1929,5,30,6.8,40,9,43
-68.06,-35.02,1929,5,30,6,10,12,10
-70,-36.5,1932,3,1,5.8,290,19,1
-71,-35,1932,6,11,6,80,13,11
-71.88,-35.25,1935,8,5,6.1,35,23,50
-71.65,-36.53,1936,11,1,6.3,15,16,10
-72,-36,1937,1,30,5.8,100,10,31
-72,-37,1937,12,24,5.8,70,3,23
-70,-35,1940,9,29,6.3,110,1,21
-71.5,-36,1950,1,21,6.2,64,14,9
-70.34,-37.61,1955,10,6,6.5,167.3,11,3
-71.94,-38.03,1960,5,22,6.9,30,19,10
-70.53,-37.07,1961,10,19,6.3,149,11,19
-71.1,-37.7,1962,1,7,5.1,129,22,0
-70.4,-38.5,1963,2,26,5.1,61,23,23
-71.5,-36.9,1963,8,9,4.2,186,20,30
-71.8,-40.2,1963,8,15,4,58,19,14
-69,-38.2,1963,12,3,4,65,4,35
-70.4,-39,1963,12,19,4.2,33,1,47
-68,-35.2,1963,12,19,5.6,32,20,33
-67.9,-35.1,1963,12,22,5,33,5,56
-68.4,-35.1,1964,2,23,4.6,135,15,53
-70.6,-35.38,1964,4,23,4.4,35,18,58
-70.7,-39.4,1964,5,24,3.9,33,3,6
-70.65,-35.47,1964,11,24,4.1,130,1,30
-71.5,-35.38,1964,12,12,4,87,14,20
-71.23,-35.56,1965,2,28,4.4,105,21,52
-68.91,-35.45,1965,3,11,4.1,35,17,24
-70.88,-35.19,1965,7,23,4.5,99,11,32
-71.7,-40.2,1965,8,29,3.8,98,21,35
-72,-35.9,1965,10,5,4.9,24,3,39
-68.25,-35.42,1965,12,10,4.4,10,18,51
-72,-38.1,1966,3,23,4,78,3,24
-70.45,-36.78,1966,3,27,3.7,154,1,32
-71.27,-35.1,1966,4,29,4.6,100,3,32
-71.09,-35.2,1966,8,17,4.4,105,16,18
-69.92,-35.43,1967,2,21,4.1,150,4,51
-71.89,-39.25,1967,5,7,4.1,120,19,14
-70.28,-37.16,1967,5,15,4.4,33,3,55
-71,-35.05,1967,8,18,4.6,20,10,22
-69.92,-36.49,1967,8,29,3.8,35,3,55
-71.91,-39.5,1967,11,26,4.7,35,18,9
-71.24,-38.33,1968,4,30,5.4,10,23,51
-70.67,-35.1,1968,7,26,4.6,70,5,44
-71.24,-35.31,1968,10,18,4.9,90.2,2,43
-71.19,-35.75,1968,11,24,4.6,100.1,5,28
-71.87,-35.66,1969,1,19,4.8,60.8,18,48
-70.9,-36.2,1969,3,2,4.4,33,6,44
-71.01,-35.15,1969,4,23,4.6,78.5,8,27
-72,-39.22,1969,8,25,5.1,15,2,38
-71.25,-38.68,1969,12,2,4.5,120,13,45
-70.9,-36.42,1970,5,18,4.5,90,11,15
-67.4,-36.2,1970,6,30,4.1,33,6,55
-70.37,-36.77,1970,7,31,4.6,160,3,24
-70.5,-39.53,1970,11,30,4.7,160,13,1
-71.93,-37.28,1971,3,6,4.8,79.2,2,47
-70.23,-35.6,1971,7,3,4.2,48.4,20,35
-71.14,-35.02,1971,8,3,4.4,91.4,14,19
-71.07,-35.41,1971,12,4,4.8,93.6,18,45
-71.17,-39.48,1972,1,2,4.8,138.6,8,1
-70.25,-35.04,1972,1,21,5.1,11.1,21,56
-70.34,-35.01,1972,2,16,4.8,29.5,14,55
-71.26,-35.08,1972,5,30,4.4,97.5,1,16
-70.77,-36.54,1972,6,17,3.9,0.1,2,49
-71.57,-40.35,1972,8,1,4.4,118.6,18,36
-69.4,-36.89,1972,8,12,3.6,0.1,18,34
-70.98,-35.29,1972,9,4,4.7,105.1,20,59
-68.68,-36.35,1972,10,29,4,0.1,5,9
-71.97,-35.77,1973,4,29,4,0.1,7,26
-72.01,-38.35,1973,8,5,4.8,74.2,0,19
-70.88,-35.82,1973,10,24,4.6,98.8,22,14
-70.87,-35.14,1974,2,9,4.5,107.7,13,7
-70.98,-35.2,1974,2,21,5.1,86,14,27
-70.73,-36.08,1974,6,1,3.7,0.1,1,17
-70.33,-38.12,1974,6,30,4.7,174.9,6,49
-71.22,-39.63,1974,7,15,4.2,55,9,30
-71.66,-35.82,1974,7,22,5.6,83.5,18,12
-71.03,-35.18,1974,8,15,5.7,98.4,18,27
-71.06,-35.33,1974,9,7,4.8,90.1,20,18
-71.95,-38.01,1975,5,12,4.1,41.2,15,34
-70.96,-36.02,1975,5,20,4.9,107.9,13,30
-70.34,-38.38,1976,1,7,4.7,154.3,12,26
-70.66,-35.11,1976,2,15,4.8,101.4,10,14
-71.49,-36.12,1976,5,22,5,75.9,15,53
-71.54,-38,1976,8,28,4.5,37,12,21
-71.1,-38.16,1978,1,2,5.5,126.8,8,27
-70.1,-36.26,1978,5,17,4.5,185.4,16,46
-71.19,-36.04,1978,7,19,4.6,104,12,51
-70.79,-38.86,1979,2,21,4.7,155,17,53
-71.19,-35.71,1979,3,20,5.4,88.8,21,41
-71.91,-40.28,1979,4,19,4.5,33,7,16
-71.39,-36.13,1979,10,8,4.8,81.6,7,59
-70.48,-39.97,1979,11,4,4.5,33,23,33
-71.34,-35.99,1979,12,26,5.6,86.8,19,43
-70.56,-39.5,1980,1,30,4.8,33,14,49
-70.69,-35.02,1980,6,29,4.2,33.3,8,33
-71.09,-37.23,1980,7,5,4.4,136.3,2,30
-69.91,-35.27,1980,8,3,5.3,148.1,3,0
-70.94,-35.06,1980,10,25,4.2,92.6,0,31
-71.69,-35.51,1981,3,16,5.4,71.9,13,40
-71.07,-35.39,1981,4,6,5.2,83.3,14,34
-70.71,-37.23,1981,7,31,4.6,122.3,12,27
-70.58,-36.78,1981,11,28,4.5,134.3,1,32
-71.44,-36.27,1981,12,15,5,86.6,12,32
-71.7,-36.5,1982,4,8,4.8,92.9,23,57
-70.87,-36.5,1982,11,26,4.8,150.3,21,57
-71.54,-36.13,1983,7,31,4.6,89.5,2,52
-71.05,-35.17,1983,9,5,4.9,97.2,19,56
-71.27,-35.98,1983,11,15,4.9,103.3,7,50
-70.42,-37.25,1984,4,29,3,33,0,40
-70.82,-35.57,1984,6,6,5,125.9,3,13
-69.97,-35.82,1984,9,12,4.2,169.1,3,6
-71.65,-35.55,1984,9,19,4.9,75,3,5
-70.95,-35.11,1984,11,12,3.7,90.7,9,44
-71.09,-35.43,1984,11,29,5.4,97.1,19,12
-70.84,-35.33,1985,1,1,4.7,99.3,11,22
-70.6,-35,1985,1,7,3.7,121.6,0,56
-70.67,-35.17,1985,2,8,3.9,0.7,16,51
-71.68,-38.28,1985,4,5,4.2,33,22,10
-70.31,-35.06,1985,4,6,4.1,33,10,5
-71,-37,1985,4,9,4.2,10,9,42
-71.96,-38.47,1985,4,10,4.5,33,12,26
-71.57,-36,1985,6,5,3.8,51.8,20,49
-71.2,-35.59,1985,9,10,4.5,117.3,16,52
-71.42,-39.34,1985,9,18,4.9,33,6,56
-70.25,-38.53,1985,10,2,4.6,112.5,8,3
-70.6,-35.21,1985,11,4,5.3,28.9,19,12
-71.12,-35.31,1985,12,18,4.6,94,12,35
-71.15,-35.68,1986,1,8,5.2,108.9,3,42
-71.25,-35.94,1986,2,9,5.3,103.6,23,32
-71.2,-35.28,1986,2,13,4.4,91.8,18,14
-70.6,-35.2,1986,4,24,4.1,33,7,10
-71.6,-36.66,1986,5,11,4.4,71.1,11,1
-69.97,-35.35,1986,5,23,3.8,1,4,7
-70.41,-37.25,1986,7,21,4,109.7,20,27
-70.64,-36.31,1986,7,22,3.9,100,1,30
-71.85,-35.84,1986,8,3,3.8,5.3,6,37
-70.41,-36.27,1986,8,5,3.8,33,16,2
-71.83,-37.1,1986,9,5,5.4,85,6,6
-71.05,-35.45,1986,9,15,3.9,125.8,14,1
-70.9,-35.05,1986,9,19,3.4,105.7,17,7
-70.47,-35.89,1986,9,30,3.7,20,20,25
-70.81,-35.9,1986,11,13,3.7,170.7,11,42
-70.29,-36.43,1986,11,18,4.2,181.5,0,31
-71.02,-35.06,1986,11,22,3.6,104.8,1,6
-71.53,-36.04,1986,12,1,3.9,134.5,4,23
-69.34,-36.42,1986,12,4,4.1,33,10,54
-71.04,-35.19,1986,12,6,3.7,99.3,10,18
-70.15,-36.04,1986,12,11,4.1,60,1,20
-71.12,-35.31,1986,12,19,4.4,77.1,7,3
-71.11,-35.08,1987,2,1,3.8,110,9,57
-70.01,-35.24,1987,2,11,4.4,151.8,3,4
-71.22,-35.74,1987,2,27,4,108,10,19
-71.49,-35.6,1987,3,1,3.8,106,21,0
-68.58,-35.33,1987,3,11,4.2,87.9,6,47
-70.63,-36.65,1987,4,12,4.2,169.5,4,31
-71.47,-35.65,1987,4,21,3.8,113,1,11
-70.72,-35.25,1987,4,28,3.8,112,4,3
-70.33,-36.46,1987,5,19,3.9,150,4,10
-70.86,-35.16,1987,6,29,3.9,88.7,21,48
-69.66,-35.17,1987,7,7,3.8,165,4,52
-71.99,-36.95,1987,7,8,4.1,30,23,22
-71.57,-36.14,1987,7,9,4.2,134,3,36
-71.96,-35.31,1987,7,23,3.9,30,8,39
-70.51,-37,1987,8,19,4.1,134.9,4,55
-71.39,-35.72,1987,9,12,4,127,4,8
-71.56,-35.69,1987,9,24,4.6,71.4,14,0
-69.95,-35.04,1987,10,13,3.7,147,13,40
-71.4,-35.81,1987,11,2,4.2,95.6,14,58
-69.8,-37.06,1987,11,18,3.7,212,8,41
-70.33,-35.01,1987,11,22,3.9,10,22,38
-71.05,-36.26,1987,11,28,4,60,10,40
-70.93,-35.35,1987,11,30,4.2,123.4,13,55
-71.44,-35.23,1987,12,8,3.8,102,2,56
-70.47,-35.05,1987,12,8,3.9,127,8,12
-70.98,-35.69,1987,12,26,4.1,107.9,23,23
-70.74,-35.06,1987,12,30,5.4,101.9,11,56
-71.2,-35.4,1988,1,4,3.9,90,2,59
-71.21,-35.11,1988,1,7,4.2,89,3,56
-71.15,-39.95,1988,2,11,4.8,152.2,21,31
-71.48,-35.05,1988,2,17,4,62,23,13
-71.65,-36.8,1988,2,28,4,151,0,38
-70.74,-35.58,1988,3,1,3.8,10,11,13
-71.51,-35.87,1988,4,26,4.1,108.3,13,17
-71.86,-35.92,1988,5,1,4,135,18,59
-71.15,-35.34,1988,5,5,3.9,114,15,5
-70.65,-35.74,1988,5,20,4.9,92,5,50
-71.6,-35.49,1988,5,31,4.1,116,20,46
-71.6,-35.56,1988,7,11,4.5,80.3,21,29
-71.22,-35.34,1988,8,12,4.4,114,23,13
-70.71,-36.38,1988,8,28,4.4,49.9,1,58
